gender,age,senior_citizen,partner,dependents,number_of_dependents,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,satisfaction_score,cltv,churn_value,churn_label,customer_value_proxy,value_segment,tenure_group,num_additional_services
Female,79,Yes,Yes,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,One Year,No,Electronic check,25.2,31.43,1306.3,0.0,0,1571.5,2877.8,50,Yes,0,No,No Offer,No,0,3,4015,0,Stayed,1260.0,Medium Value,49-72 Bulan (Sangat Loyal),0
Female,26,No,Yes,No,0,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,94.1,43.56,1215.6,0.0,0,566.28,1781.88,13,Yes,52,Yes,No Offer,Yes,1,1,2973,1,Churned,1223.3,Medium Value,13-48 Bulan (Loyal),3
Female,30,No,Yes,Yes,2,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,83.75,34.91,1849.95,0.0,0,802.93,2652.88,23,Yes,30,Yes,Offer D,Yes,1,4,3585,0,Stayed,1926.25,Medium Value,13-48 Bulan (Loyal),1
Female,34,No,Yes,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Month-to-Month,No,Mailed check,20.35,12.43,76.35,0.0,0,49.72,126.07,4,No,0,No,Offer E,No,0,1,4133,1,Churned,81.4,Low Value,0-12 Bulan (Baru),0
Female,37,No,Yes,Yes,1,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-Month,No,Bank transfer (automatic),30.5,0.0,30.5,0.0,0,0.0,30.5,1,No,19,Yes,No Offer,Yes,1,1,5171,1,Churned,30.5,Low Value,0-12 Bulan (Baru),1
Female,37,No,Yes,Yes,3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),103.7,35.04,5656.75,0.0,20,1927.2,7603.95,55,No,57,No,No Offer,Yes,10,3,5892,0,Stayed,5703.5,High Value,49-72 Bulan (Sangat Loyal),6
Male,42,No,Yes,Yes,3,Yes,No,No,No,No,No,No,No,No,No Internet Service,Two Year,No,Credit card (automatic),20.4,19.7,1090.6,0.0,0,1063.8,2154.4,54,No,0,No,No Offer,Yes,3,4,6393,0,Stayed,1101.6,Medium Value,49-72 Bulan (Sangat Loyal),0
Male,64,No,No,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,One Year,Yes,Bank transfer (automatic),19.6,37.7,471.85,21.25,0,980.2,1430.8,26,No,0,No,Offer C,No,0,4,3722,0,Stayed,509.6,Low Value,13-48 Bulan (Loyal),0
Female,47,No,Yes,Yes,3,Yes,No,No,No,No,No,No,No,No,No Internet Service,Two Year,No,Bank transfer (automatic),19.7,38.39,1396.9,0.0,0,2648.91,4045.81,69,No,0,No,No Offer,Yes,5,5,4131,0,Stayed,1359.3,Medium Value,49-72 Bulan (Sangat Loyal),0
Male,23,No,Yes,Yes,3,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,One Year,No,Credit card (automatic),91.2,43.01,3247.55,0.0,0,1591.37,4838.92,37,No,51,Yes,Offer C,Yes,1,5,5263,0,Stayed,3374.4,High Value,13-48 Bulan (Loyal),3
Female,48,No,Yes,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,One Year,No,Bank transfer (automatic),20.45,49.58,900.9,0.0,0,2429.42,3330.32,49,No,0,No,Offer B,Yes,5,3,6061,0,Stayed,1002.05,Medium Value,49-72 Bulan (Sangat Loyal),0
Male,28,No,Yes,No,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,No,Bank transfer (automatic),115.8,43.77,7942.15,0.0,0,2888.82,10830.97,66,Yes,41,Yes,No Offer,Yes,9,3,5845,0,Stayed,7642.8,High Value,49-72 Bulan (Sangat Loyal),7
Female,28,No,No,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,One Year,No,Electronic check,20.55,23.12,1343.4,30.53,0,1549.04,2861.91,67,No,0,No,No Offer,No,0,5,5462,0,Stayed,1376.8500000000001,Medium Value,49-72 Bulan (Sangat Loyal),0
Male,33,No,Yes,Yes,1,No,Yes,Yes,No,Yes,Yes,No,No,No,Cable,Two Year,Yes,Credit card (automatic),39.4,0.0,825.4,0.0,0,0.0,825.4,20,No,22,Yes,No Offer,Yes,4,3,3899,0,Stayed,788.0,Low Value,13-48 Bulan (Loyal),3
Female,31,No,No,Yes,3,Yes,No,No,No,No,No,No,No,No,No Internet Service,Two Year,Yes,Electronic check,25.1,30.64,1070.15,0.0,0,1317.52,2387.67,43,Yes,0,No,No Offer,No,0,4,4797,0,Stayed,1079.3,Medium Value,13-48 Bulan (Loyal),0
Female,37,No,Yes,No,0,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),89.8,5.08,4959.6,0.0,0,279.4,5239.0,55,Yes,9,Yes,Offer B,Yes,2,3,5875,0,Stayed,4939.0,High Value,49-72 Bulan (Sangat Loyal),2
Female,60,No,Yes,No,0,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,94.75,16.39,5597.65,0.0,0,967.01,6564.66,59,Yes,14,Yes,Offer B,Yes,4,3,5238,0,Stayed,5590.25,High Value,49-72 Bulan (Sangat Loyal),3
Female,48,No,Yes,Yes,3,Yes,No,No,No,No,No,No,No,No,No Internet Service,Two Year,No,Bank transfer (automatic),20.3,19.28,224.5,0.0,0,231.36,455.86,12,No,0,No,No Offer,Yes,3,5,5190,0,Stayed,243.60000000000002,Low Value,13-48 Bulan (Loyal),0
Male,60,No,Yes,Yes,3,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),75.75,25.26,1929.0,0.0,0,682.02,2611.02,27,Yes,23,Yes,Offer C,Yes,7,3,4994,0,Stayed,2045.25,Medium Value,13-48 Bulan (Loyal),0
Male,69,Yes,No,No,0,Yes,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Electronic check,49.25,43.99,91.1,0.0,0,87.98,179.08,2,No,27,Yes,No Offer,No,0,2,3475,1,Churned,98.5,Low Value,0-12 Bulan (Baru),1
Female,20,No,No,No,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Mailed check,78.2,48.91,2078.95,0.0,0,1320.57,3399.52,27,No,59,Yes,Offer C,No,0,3,2297,0,Stayed,2111.4,Medium Value,13-48 Bulan (Loyal),6
Male,31,No,Yes,Yes,3,Yes,No,No,No,No,No,No,No,No,No Internet Service,Two Year,No,Credit card (automatic),25.5,23.69,630.6,44.42,0,592.25,1178.43,25,Yes,0,No,No Offer,Yes,1,3,5230,0,Stayed,637.5,Low Value,13-48 Bulan (Loyal),0
Male,46,No,Yes,No,0,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Cable,One Year,Yes,Bank transfer (automatic),61.6,6.45,1611.0,44.9,0,161.25,1727.35,25,No,19,Yes,No Offer,Yes,5,3,3807,0,Stayed,1540.0,Medium Value,13-48 Bulan (Loyal),3
Male,57,No,No,Yes,1,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,Month-to-Month,Yes,Mailed check,45.0,0.0,1242.45,12.26,0,0.0,1230.19,29,No,21,Yes,No Offer,No,0,4,3290,0,Stayed,1305.0,Medium Value,13-48 Bulan (Loyal),4
Male,19,No,Yes,No,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),85.15,32.36,6316.2,0.0,0,2329.92,8646.12,72,Yes,52,Yes,No Offer,Yes,5,3,6322,0,Stayed,6130.8,High Value,,6
Female,64,No,No,No,0,Yes,Yes,No,Yes,No,No,No,No,No,Cable,One Year,No,Credit card (automatic),51.45,24.04,727.85,0.0,0,336.56,1064.41,14,No,12,Yes,No Offer,No,0,3,4298,0,Stayed,720.3000000000001,Low Value,13-48 Bulan (Loyal),1
Female,38,No,No,No,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,99.25,36.42,3532.0,0.0,0,1274.7,4806.7,35,No,2,Yes,Offer C,No,0,3,3244,0,Stayed,3473.75,High Value,13-48 Bulan (Loyal),5
Male,50,No,No,No,0,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,94.2,2.05,2607.6,0.0,20,59.45,2687.05,29,No,17,No,No Offer,No,0,5,4561,0,Stayed,2731.8,Medium Value,13-48 Bulan (Loyal),4
Male,25,No,No,No,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL,One Year,No,Electronic check,81.25,5.49,5567.55,0.0,40,351.36,5958.91,64,Yes,69,No,No Offer,No,0,3,4761,0,Stayed,5200.0,High Value,49-72 Bulan (Sangat Loyal),5
Female,35,No,Yes,Yes,3,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),99.95,24.38,3767.4,0.0,0,950.82,4718.22,39,Yes,53,Yes,No Offer,Yes,1,3,4447,0,Stayed,3898.05,High Value,13-48 Bulan (Loyal),4
Female,72,Yes,No,No,0,Yes,Yes,No,No,No,No,Yes,Yes,No,Fiber Optic,Two Year,Yes,Electronic check,91.55,44.14,3673.6,0.0,0,1765.6,5439.2,40,No,23,Yes,No Offer,No,0,3,5742,0,Stayed,3662.0,High Value,13-48 Bulan (Loyal),2
Male,51,No,No,No,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),104.5,37.69,4036.85,0.0,0,1507.6,5544.45,40,Yes,15,Yes,No Offer,No,0,1,2832,1,Churned,4180.0,High Value,13-48 Bulan (Loyal),5
Female,78,Yes,No,Yes,1,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,95.0,11.59,1120.3,0.0,120,127.49,1367.79,11,No,29,No,Offer D,No,0,1,5980,1,Churned,1045.0,Medium Value,0-12 Bulan (Baru),3
Female,30,No,Yes,No,0,Yes,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,No,Electronic check,50.35,42.66,314.55,0.0,0,255.96,570.51,6,Yes,85,Yes,Offer E,Yes,10,3,3442,0,Stayed,302.1,Low Value,0-12 Bulan (Baru),0
Male,58,No,No,No,0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,DSL,Month-to-Month,Yes,Mailed check,64.5,2.64,1888.45,0.0,0,79.2,1967.65,30,Yes,15,Yes,No Offer,No,0,3,5039,0,Stayed,1935.0,Medium Value,13-48 Bulan (Loyal),3
Male,26,No,No,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Month-to-Month,Yes,Electronic check,19.4,20.66,529.8,0.0,0,557.82,1087.62,27,No,0,No,No Offer,No,0,5,3792,0,Stayed,523.8,Low Value,13-48 Bulan (Loyal),0
Male,66,Yes,Yes,No,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,One Year,Yes,Electronic check,104.8,39.49,7308.95,6.11,0,2764.3,10067.14,70,Yes,28,Yes,No Offer,Yes,3,5,5291,0,Stayed,7336.0,High Value,49-72 Bulan (Sangat Loyal),4
Female,20,No,Yes,No,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),109.4,8.01,6252.7,0.0,0,456.57,6709.27,57,Yes,73,Yes,Offer B,Yes,10,5,6026,0,Stayed,6235.8,High Value,49-72 Bulan (Sangat Loyal),6
Male,61,No,Yes,No,0,Yes,Yes,No,No,Yes,No,No,No,No,DSL,One Year,No,Credit card (automatic),50.3,18.37,2878.55,10.23,0,1065.46,3933.78,58,No,18,Yes,No Offer,Yes,10,5,5232,0,Stayed,2917.3999999999996,Medium Value,49-72 Bulan (Sangat Loyal),1
Male,24,No,No,No,0,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,DSL,Month-to-Month,Yes,Bank transfer (automatic),71.4,25.71,1212.1,0.0,0,411.36,1623.46,16,Yes,48,Yes,No Offer,No,0,5,3360,0,Stayed,1142.4,Medium Value,13-48 Bulan (Loyal),4
Female,55,No,Yes,No,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Electronic check,116.0,38.52,8182.85,0.0,0,2657.88,10840.73,69,Yes,27,Yes,Offer A,Yes,3,3,4216,0,Stayed,8004.0,High Value,49-72 Bulan (Sangat Loyal),7
Male,32,No,No,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Month-to-Month,Yes,Electronic check,19.85,31.77,19.85,0.0,0,31.77,51.62,1,No,0,No,Offer E,No,0,2,3874,1,Churned,19.85,Low Value,0-12 Bulan (Baru),0
Male,59,No,No,No,0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,99.75,40.71,99.75,0.0,0,40.71,140.46,1,Yes,25,Yes,No Offer,No,0,1,4214,1,Churned,99.75,Low Value,0-12 Bulan (Baru),4
Male,71,Yes,Yes,Yes,1,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Mailed check,93.95,31.86,2861.45,0.0,0,1019.52,3880.97,32,No,23,Yes,Offer C,Yes,9,5,2844,0,Stayed,3006.4,High Value,13-48 Bulan (Loyal),4
Male,49,No,Yes,Yes,2,Yes,Yes,No,No,Yes,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),90.8,48.71,1442.2,0.0,0,779.36,2221.56,16,Yes,12,Yes,Offer D,Yes,8,3,5560,0,Stayed,1452.8,Medium Value,13-48 Bulan (Loyal),2
Male,61,No,Yes,No,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Cable,One Year,No,Electronic check,84.35,39.55,4059.35,0.0,0,1937.95,5997.3,49,Yes,10,Yes,Offer B,Yes,1,2,6452,1,Churned,4133.15,High Value,49-72 Bulan (Sangat Loyal),6
Female,40,No,Yes,No,0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,No,Bank transfer (automatic),58.25,0.0,4145.9,0.0,0,0.0,4145.9,71,No,29,Yes,Offer A,Yes,2,5,5224,0,Stayed,4135.75,High Value,49-72 Bulan (Sangat Loyal),6
Female,39,No,No,No,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,No,Electronic check,107.55,49.69,3645.5,0.0,0,1639.77,5285.27,33,Yes,12,Yes,No Offer,No,0,3,4800,0,Stayed,3549.15,High Value,13-48 Bulan (Loyal),5
Female,21,No,Yes,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Month-to-Month,Yes,Bank transfer (automatic),19.95,49.6,187.75,0.0,0,496.0,683.75,10,No,0,No,Offer D,Yes,9,4,3831,0,Stayed,199.5,Low Value,0-12 Bulan (Baru),0
Male,24,No,Yes,No,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,111.2,36.26,2317.1,0.0,120,761.46,3198.56,21,Yes,59,No,No Offer,Yes,1,3,4123,1,Churned,2335.2000000000003,Medium Value,13-48 Bulan (Loyal),6
Male,52,No,Yes,Yes,1,No,Yes,Yes,Yes,Yes,No,No,No,No,DSL,Month-to-Month,No,Bank transfer (automatic),40.2,0.0,1448.8,0.0,0,0.0,1448.8,37,No,23,Yes,No Offer,Yes,1,2,3627,1,Churned,1487.4,Medium Value,13-48 Bulan (Loyal),3
Female,71,Yes,No,No,0,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),85.8,33.74,2193.65,0.0,0,877.24,3070.89,26,No,7,Yes,No Offer,No,0,3,5700,0,Stayed,2230.7999999999997,Medium Value,13-48 Bulan (Loyal),2
Male,45,No,No,No,0,No,Yes,Yes,No,No,Yes,No,No,No,DSL,One Year,Yes,Mailed check,35.4,0.0,1748.9,0.0,0,0.0,1748.9,50,No,7,Yes,Offer B,No,0,3,5052,0,Stayed,1770.0,Medium Value,49-72 Bulan (Sangat Loyal),2
Female,29,No,No,No,0,Yes,Yes,No,No,No,No,No,No,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,73.85,28.62,511.25,13.03,0,200.34,698.56,7,Yes,26,Yes,No Offer,No,0,3,2473,1,Churned,516.9499999999999,Low Value,0-12 Bulan (Baru),1
Female,62,No,Yes,No,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,No,Mailed check,88.1,47.19,5526.75,0.0,0,2878.59,8405.34,61,Yes,28,Yes,Offer B,Yes,1,4,5152,0,Stayed,5374.099999999999,High Value,49-72 Bulan (Sangat Loyal),7
Male,42,No,No,No,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,101.35,45.92,1553.95,0.0,0,688.8,2242.75,15,No,12,Yes,Offer D,No,0,2,3025,1,Churned,1520.25,Medium Value,13-48 Bulan (Loyal),5
Female,51,No,No,Yes,2,No,Yes,Yes,No,No,Yes,No,Yes,Yes,DSL,Month-to-Month,No,Mailed check,45.8,0.0,1147.0,0.0,0,0.0,1147.0,26,No,19,Yes,No Offer,No,0,4,3287,0,Stayed,1190.8,Medium Value,13-48 Bulan (Loyal),4
Male,39,No,Yes,No,0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,94.65,33.22,6747.35,0.0,0,2391.84,9139.19,72,No,23,Yes,No Offer,Yes,9,3,5943,0,Stayed,6814.8,High Value,,4
Male,64,No,Yes,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,One Year,Yes,Bank transfer (automatic),20.5,27.4,865.05,0.0,0,1205.6,2070.65,44,No,0,No,No Offer,Yes,1,3,3093,0,Stayed,902.0,Medium Value,13-48 Bulan (Loyal),0
Male,55,No,No,No,0,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,No,Credit card (automatic),89.4,48.78,5976.9,36.02,40,3219.48,9200.36,66,Yes,8,No,Offer A,No,0,3,4889,0,Stayed,5900.400000000001,High Value,49-72 Bulan (Sangat Loyal),3
Female,40,No,No,No,0,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,86.25,36.81,181.65,0.0,0,73.62,255.27,2,No,16,Yes,No Offer,No,0,2,3529,1,Churned,172.5,Low Value,0-12 Bulan (Baru),3
Female,76,Yes,No,No,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Bank transfer (automatic),74.85,7.72,3268.05,17.91,0,339.68,3589.82,44,No,17,Yes,No Offer,No,0,5,3253,0,Stayed,3293.3999999999996,High Value,13-48 Bulan (Loyal),5
Female,57,No,No,No,0,Yes,Yes,No,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),89.75,14.38,1052.4,0.0,0,172.56,1224.96,12,Yes,6,Yes,Offer D,No,0,3,5671,1,Churned,1077.0,Medium Value,13-48 Bulan (Loyal),2
Male,71,Yes,Yes,No,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Fiber Optic,Two Year,Yes,Electronic check,109.95,18.41,7634.25,0.0,0,1270.29,8904.54,69,Yes,17,Yes,No Offer,Yes,1,5,4297,0,Stayed,7586.55,High Value,49-72 Bulan (Sangat Loyal),5
Female,25,No,No,No,0,Yes,Yes,No,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,80.2,1.23,80.2,0.0,0,1.23,81.43,1,Yes,69,Yes,Offer E,No,0,3,3056,1,Churned,80.2,Low Value,0-12 Bulan (Baru),1
Female,24,No,No,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Month-to-Month,No,Mailed check,19.85,25.75,63.75,0.0,0,77.25,141.0,3,No,0,No,Offer E,No,0,1,3398,1,Churned,59.550000000000004,Low Value,0-12 Bulan (Baru),0
Female,77,Yes,No,No,0,Yes,Yes,No,Yes,Yes,No,No,No,No,Fiber Optic,Two Year,Yes,Bank transfer (automatic),86.45,2.97,2401.05,0.0,0,80.19,2481.24,27,Yes,4,Yes,No Offer,No,0,4,5990,0,Stayed,2334.15,Medium Value,13-48 Bulan (Loyal),2
Male,57,No,No,No,0,Yes,No,No,No,No,No,No,No,No,No Internet Service,Month-to-Month,Yes,Electronic check,20.3,13.34,511.25,0.0,0,346.84,858.09,26,No,0,No,Offer C,No,0,5,5712,0,Stayed,527.8000000000001,Low Value,13-48 Bulan (Loyal),0
Female,73,Yes,Yes,No,0,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,101.25,20.15,3949.15,0.0,0,785.85,4735.0,39,Yes,21,Yes,No Offer,Yes,9,4,3172,0,Stayed,3948.75,High Value,13-48 Bulan (Loyal),4
